"TextClass","elevbin","freq","soilindex","sum_Shape_Area","fieldcap","wiltpoint","WHC","slopegradw","brockdepmi","ksat","sand","silt","clay","maxdepth","elev"
"Loam",1,2470,"1",0.024355107346791,21.0597197618097,8.19102856721195,12.8686911945977,14.696904360322,34.39753453986,10.6183625811952,40.9874427117517,44.9026235390344,14.109933749214,79.1763945326016,213.599792820795
"Loam",2,3724,"2",0.083636146927537,20.0641535234742,7.66485264065692,12.3993008828173,21.4365509678574,35.9291781673373,14.3710570426389,42.5138249750961,44.2346015341877,13.2515734907162,70.349145904706,419.961035234643
"Loam",3,39,"3",0.00081657980122,18.6459050543809,7.85807540292585,10.7878296514551,15.5256422959046,38.7863859986648,15.653324361381,39.1807607429232,44.6979654719513,16.1212737851255,58.2167181478412,713.92148966533
"Loam",NA,3,"4",0.000195154323468,12.7353142021993,4.58896276561467,8.14635143658464,43.7712312295302,0,7.43704806073373,39.5117206096678,45.7349936196907,14.7532857706415,46.1232894607498,NA
"LoamySand",1,9341,"5",0.058475456193623,12.2160616366672,3.88592300945517,8.33013862721202,7.36011499894822,NA,104.569861404778,79.7931603549088,17.3665060653265,2.84033357976464,99.5545200526092,136.455299228588
"LoamySand",2,1366,"6",0.009821789870811,10.2756803245903,3.35854714729443,6.91713317729585,10.3841329435546,NA,114.403922510783,78.8159521684426,18.1371661534433,3.04688167811414,99.9896034190496,355.069493598111
"LoamySand",3,4,"7",0.00001648202453,6.07189025973751,1.92530204841393,4.14658821132358,4.47921314254389,NA,126.211389289021,76.1304531142064,20.8179633186855,3.05158356710809,100,707.839903857451
"LoamySand",NA,11,"8",0.000036855387926,8.66567446812625,2.54569373899166,6.11998072913459,10.5659911280754,NA,88.4509345440772,75.5638587050701,21.0890610101525,3.34708028477741,99.6316467927759,NA
"None",1,4,"9",0.000047387746775,NA,NA,NA,14.8552891158812,0,11.3895752193915,NA,NA,NA,9.09755742728074,97.3247091292367
"None",2,123,"10",0.001049633926563,NA,NA,NA,1.03265588582308,0,21.3662654393451,NA,NA,NA,98.6185738215151,399.668783322709
"Sand",1,7003,"11",0.062606387743239,7.4731834903196,2.49381234950322,4.97937114081638,8.89609631609418,NA,104.143757134588,87.4246886714926,11.1633665842669,1.41194474424041,94.280633319661,112.620721041353
"Sand",2,1004,"12",0.006469593903765,7.96208572737958,2.75166473401206,5.21042099336752,13.5360608767069,NA,158.785777039624,87.2989538755696,10.6219234783865,2.07912264604391,100,376.932972817699
"Sand",3,9,"13",0.000027758491661,6.96659224109317,2.42326945025413,4.54332279083903,16.0006032440474,NA,236.303147,86.2861,11.1433,2.5706,100,690.57030238014
"Sand",NA,15,"14",0.000016335717462,8.31392599103052,2.64900105971801,5.66492493131251,30.8452692894308,NA,136.052774420557,86.1341325496552,12.4010984602521,1.46476899009264,100,NA
"SandyClayLoam",1,28,"15",0.000140292006872,28.08399982,14.43700029,13.64699953,4.393849909599,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,235.679379633899
"SandyClayLoam",2,9,"16",0.000082752562247,28.08399982,14.43700029,13.64699953,3.81156511026865,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,315.888185080271
"SandyLoam",1,25338,"17",0.21869032266424,15.7663449406376,6.49466992768181,9.27167501295578,14.7866429638271,34.0256956767725,25.649674346164,63.2847457102702,30.5509274400169,6.16432684971288,88.8089201777919,187.655084777712
"SandyLoam",2,35976,"18",0.520181153905843,17.2778966680736,6.8918480586724,10.3860486094012,17.5615871425415,47.2665233027978,15.3577263632901,60.7823831253064,33.7803069987281,5.43730987596549,84.7973024834005,447.283236051886
"SandyLoam",3,3216,"19",0.095458922082608,18.5882396595042,7.42647538612896,11.1617642733752,22.3932155754242,54.5398710035973,10.6064202306979,66.900362395756,26.9072211944684,6.19241640977564,82.3568469556508,745.7531583969
"SandyLoam",NA,56,"20",0.000333845185079,14.6146387031112,6.03719212166211,8.57744658144913,13.7364004870561,40.826378433211,15.235043849,68.94362386443,24.6541308376588,6.40224529791114,88.484653336909,NA
"SiltLoam",1,5732,"21",0.047475159134646,20.6990717906853,7.08482587580847,13.6142459148768,8.87963884708977,58.5926925513695,11.1684168939672,31.2713481233361,59.104178884863,9.62447299180093,96.8923962527392,152.071528469918
"SiltLoam",2,4779,"22",0.057181158780182,20.0829332592918,7.7617433517912,12.3211899075006,17.4853444062642,35.4725847667089,7.97782606350612,34.708572213723,52.7235001818971,12.5679276043799,88.9144216231496,397.746552554149
"SiltLoam",3,52,"23",0.000577092226851,18.4320721588307,6.8711254132402,11.5609467455905,24.8479020386429,32.7283334259664,9.28948951409612,34.6393981456618,51.0082363435104,14.3523655108278,74.4422993343561,695.520389262627
"SiltLoam",NA,12,"24",0.000121687992935,17.9062531438141,7.00743154293999,10.8988216008741,19.7879576422299,32.4547150762798,9.9408258432947,32.7828084560975,50.8155292414316,16.4016623024709,69.3822202765459,NA
"SiltyClayLoam",1,385,"25",0.002353182945138,30.5635453855406,19.2516484481005,11.3118969374401,2.96694731760711,NA,2.0019856584547,14.925230753509,52.1346141324707,32.9401551140203,100,59.71553132912
