LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	9	PINURESI	0.73	214	6417
0	9	PINUSTRO	0.77	616	18474
0	9	POPUGRAN	0.742	955	28637
0	9	POPUTREM	0.936	778	23348
0	9	PRUNSERO	0.345	940	28192
0	9	QUERALBA	0.317	894	26834
0	9	QUERCOCC	0.002	561	16843
0	9	QUERRUBR	0.755	726	21782
0	9	TILIAMER	0.492	1143	34300
0	9	TSUGCANA	0.652	223	6698
0	10	ACERRUBR	0.309	681	20440
0	10	ACERSACC	0.706	895	26842
0	10	BETUALLE	0.688	822	24670
0	10	BETULENT	0.569	822	24670
0	10	BETUPAPY	0.359	874	26217
0	10	CARYCORD	0.355	998	29929
0	10	FAGUGRAN	0.286	746	22384
0	10	FRAXAMER	0.339	780	23405
0	10	PINURESI	0.49	232	6949
0	10	PINUSTRO	0.772	637	19124
0	10	POPUGRAN	0.733	972	29159
0	10	POPUTREM	0.827	797	23910
0	10	PRUNSERO	0.425	957	28723
0	10	QUERALBA	0.381	913	27379
0	10	QUERCOCC	0.017	577	17307
0	10	QUERRUBR	0.709	744	22331
0	10	TILIAMER	0.562	1158	34741
0	10	TSUGCANA	0.621	234	7031
0	13	ACERRUBR	0.108	675	20238
0	13	ACERSACC	0.36	877	26309
0	13	BETUALLE	0.269	810	24285
0	13	BETULENT	0.197	810	24285
0	13	BETUPAPY	0.234	856	25680
0	13	CARYCORD	0.225	966	28979
0	13	FAGUGRAN	0.122	738	22134
0	13	FRAXAMER	0.201	767	23021
0	13	PINURESI	0.37	234	7022
0	13	PINUSTRO	0.43	644	19309
0	13	POPUGRAN	0.37	949	28485
0	13	POPUTREM	0.446	783	23475
0	13	PRUNSERO	0.258	936	28083
0	13	QUERALBA	0.183	892	26747
0	13	QUERCOCC	0.009	573	17177
0	13	QUERRUBR	0.315	732	21966
0	13	TILIAMER	0.219	1127	33820
0	13	TSUGCANA	0.216	246	7381
0	14	ACERRUBR	0.227	678	20334
0	14	ACERSACC	0.552	888	26650
0	14	BETUALLE	0.541	818	24525
0	14	BETULENT	0.406	818	24525
0	14	BETUPAPY	0.402	867	26013
0	14	CARYCORD	0.276	985	29561
0	14	FAGUGRAN	0.21	743	22280
0	14	FRAXAMER	0.257	775	23240
0	14	PINURESI	0.555	227	6818
0	14	PINUSTRO	0.639	645	19346
0	14	POPUGRAN	0.58	964	28919
0	14	POPUTREM	0.697	790	23714
0	14	PRUNSERO	0.336	950	28504
0	14	QUERALBA	0.288	905	27142
0	14	QUERCOCC	0.008	574	17213
0	14	QUERRUBR	0.555	739	22160
0	14	TILIAMER	0.398	1149	34475
0	14	TSUGCANA	0.459	252	7548
0	15	ACERRUBR	0.248	678	20352
0	15	ACERSACC	0.62	891	26718
0	15	BETUALLE	0.677	819	24570
0	15	BETULENT	0.468	819	24570
0	15	BETUPAPY	0.515	869	26079
0	15	CARYCORD	0.257	990	29701
0	15	FAGUGRAN	0.214	744	22307
0	15	FRAXAMER	0.256	776	23281
0	15	PINURESI	0.66	225	6756
0	15	PINUSTRO	0.716	644	19314
0	15	POPUGRAN	0.664	967	29016
0	15	POPUTREM	0.829	792	23768
0	15	PRUNSERO	0.339	953	28596
