mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfwiltpt_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
281338,11,,226.0658093,77.6211,11.9119,1.857,10.01040995,2.462150023,100,GRX-COS,Extremely gravelly coarse sand,Coarse sand
281340,33,,226.0658093,77.6211,11.9119,1.857,10.01040995,2.462150023,100,GRX-COS,Extremely gravelly coarse sand,Coarse sand
281341,4,,32.7497451,63.06621549,27.33351972,1.928969014,13.2101025,4.355192063,99.13,GR-LS,Gravelly loamy sand,Loamy sand
281342,12,,31.71996347,62.97488732,27.46179296,2.024925352,13.74749334,4.530729382,98.84,GR-LS,Gravelly loamy sand,Loamy sand
281343,20,,31.72274183,61.56885915,28.5233662,1.88228169,12.45648419,4.219486717,98.55,GR-LS,Gravelly loamy sand,Loamy sand
281344,39.40000153,,35.58950684,62.1971,28.9213,1.8316,11.98341995,3.94616009,100,GR-LS,Gravelly loamy sand,Loamy sand
281345,4,,12.1819936,58.24878261,34.70005217,2.130295652,14.10776692,4.747679608,97.84,FSL,Fine sandy loam,Fine sandy loam
281346,12,,12.3054854,58.21391549,34.45921972,2.067569014,14.0659025,4.794992012,99.13,FSL,Fine sandy loam,Fine sandy loam
281347,19.79999924,,12.1819936,58.24878261,34.70005217,2.130295652,14.10776692,4.747679608,97.84,FSL,Fine sandy loam,Fine sandy loam
281348,39.70000076,,12.1605888,58.09397391,34.71127826,2.203443478,14.31503041,4.827184392,96.76,FSL,Fine sandy loam,Fine sandy loam
281352,4,,7.840972139,53.9345913,40.30662609,2.338347826,13.59281334,4.942154777,98.92,FSL,Fine sandy loam,Fine sandy loam
281353,12,,7.559670125,53.11998696,40.91183913,2.592521739,14.05341509,5.094442172,98.38,FSL,Fine sandy loam,Fine sandy loam
