LandisData	Dynamic Input Data				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	8	PINUSTRO	0.416	600	18000
0	8	POPUGRAN	0.34	902	27050
0	8	POPUTREM	0.806	728	21850
0	8	PRUNSERO	0.115	887	26620
0	8	QUERRUBR	0.448	678	20330
0	8	SORBAMER	0.933	304	9130
0	8	TILIAMER	0.075	1088	32650
0	8	TSUGCANA	0.323	256	7680
0	9	ABIEBALS	0.761	310	9290
0	9	ACERPENS	0.005	697	20900
0	9	ACERRUBR	0.011	568	17040
0	9	ACERSACC	0.043	762	22860
0	9	BETUALLE	0.14	699	20980
0	9	BETUPAPY	0.922	739	22160
0	9	FAGUGRAN	0.001	634	19010
0	9	FRAXAMER	0.003	654	19620
0	9	LARILARI	0.896	39	1160
0	9	PICEMARI	0.936	191	5730
0	9	PICERUBE	0.005	194	5820
0	9	PINURESI	0.212	146	4370
0	9	PINUSTRO	0.111	561	16840
0	9	POPUGRAN	0.1	833	24990
0	9	POPUTREM	0.587	667	20000
0	9	PRUNSERO	0.015	819	24570
0	9	QUERRUBR	0.175	618	18540
0	9	SORBAMER	0.781	338	10150
0	9	TILIAMER	0.001	1014	30410
0	9	TSUGCANA	0.109	292	8760
0	10	ABIEBALS	0.673	336	10080
0	10	ACERPENS	0	664	19910
0	10	ACERRUBR	0	532	15960
0	10	ACERSACC	0.002	720	21590
0	10	BETUALLE	0.019	660	19810
0	10	BETUPAPY	0.835	697	20900
0	10	FAGUGRAN	0	598	17940
0	10	FRAXAMER	0	615	18450
0	10	LARILARI	0.813	35	1060
0	10	PICEMARI	0.943	206	6190
0	10	PICERUBE	0	209	6280
0	10	PINURESI	0.041	128	3830
0	10	PINUSTRO	0.02	540	16200
0	10	POPUGRAN	0.013	787	23620
0	10	POPUTREM	0.387	626	18780
0	10	PRUNSERO	0	774	23230
0	10	QUERRUBR	0.049	583	17500
0	10	SORBAMER	0.69	363	10880
0	10	TILIAMER	0	965	28940
0	10	TSUGCANA	0.024	313	9390
0	11	ABIEBALS	0.576	323	9680
0	11	ACERPENS	0	683	20490
0	11	ACERRUBR	0	552	16570
0	11	ACERSACC	0.002	744	22330
0	11	BETUALLE	0.022	683	20480
0	11	BETUPAPY	0.753	721	21630
0	11	FAGUGRAN	0	618	18550
0	11	FRAXAMER	0	638	19140
0	11	LARILARI	0.732	38	1130
0	11	PICEMARI	0.832	199	5960
0	11	PICERUBE	0	202	6050
0	11	PINURESI	0.044	138	4130
0	11	PINUSTRO	0.022	553	16590
0	11	POPUGRAN	0.015	814	24410
0	11	POPUTREM	0.358	649	19460
0	11	PRUNSERO	0.001	800	24010
0	11	QUERRUBR	0.059	604	18110
0	11	SORBAMER	0.623	351	10540
0	11	TILIAMER	0	993	29780
0	11	TSUGCANA	0.04	302	9070
0	12	ABIEBALS	0.328	353	10590
0	12	ACERPENS	0	639	19180
0	12	ACERRUBR	0	510	15290
0	12	ACERSACC	0	688	20650
0	12	BETUALLE	0.004	631	18940
0	12	BETUPAPY	0.532	665	19940
0	12	FAGUGRAN	0	572	17150
0	12	FRAXAMER	0	587	17610
0	12	LARILARI	0.608	33	990
0	12	PICEMARI	0.804	216	6490
0	12	PICERUBE	0	220	6600
0	12	PINURESI	0.006	116	3480
0	12	PINUSTRO	0.003	522	15650
0	12	POPUGRAN	0.003	754	22620
0	12	POPUTREM	0.107	597	17920
0	12	PRUNSERO	0	741	22240
0	12	QUERRUBR	0.006	556	16690
0	12	SORBAMER	0.332	378	11330
0	12	TILIAMER	0	928	27840
