"TextClass.x","elevbin.x","soilindex2","TextClass.y","elevbin.y","fieldcap","wiltpoint","WHC","slopegradw","brockdepmi","ksat","sand","silt","clay","maxdepth","elev"
"Loam",1,"1","Loam",1,21.0597197618097,8.19102856721195,12.8686911945977,14.696904360322,34.39753453986,10.6183625811952,40.9874427117517,44.9026235390344,14.109933749214,79.1763945326016,213.599792820795
"Loam",2,"2","Loam",2,20.0641535234742,7.66485264065692,12.3993008828173,21.4365509678574,35.9291781673373,14.3710570426389,42.5138249750961,44.2346015341877,13.2515734907162,70.349145904706,419.961035234643
"Loam",3,"3","Loam",3,18.6459050543809,7.85807540292585,10.7878296514551,15.5256422959046,38.7863859986648,15.653324361381,39.1807607429232,44.6979654719513,16.1212737851255,58.2167181478412,713.92148966533
"LoamySand",1,"5","LoamySand",1,12.2160616366672,3.88592300945517,8.33013862721202,7.36011499894822,NA,104.569861404778,79.7931603549088,17.3665060653265,2.84033357976464,99.5545200526092,136.455299228588
"LoamySand",2,"6","LoamySand",2,10.2756803245903,3.35854714729443,6.91713317729585,10.3841329435546,NA,114.403922510783,78.8159521684426,18.1371661534433,3.04688167811414,99.9896034190496,355.069493598111
"LoamySand",3,"7","LoamySand",3,6.07189025973751,1.92530204841393,4.14658821132358,4.47921314254389,NA,126.211389289021,76.1304531142064,20.8179633186855,3.05158356710809,100,707.839903857451
"Sand",1,"11","Sand",1,7.47389080593682,2.49384312249665,4.98004768344017,8.89707877833615,NA,104.13452445385,87.4177104968694,11.1692062455012,1.41308325762942,94.2837815231622,112.620721041353
"Sand",2,"12","Sand",2,7.96297366719282,2.75140564153971,5.2115680256531,13.5796565298567,NA,158.728520805047,87.296020110761,10.626404578478,2.077575310761,100,376.932972817699
"Sand",3,"13","Sand",3,6.96659224109317,2.42326945025413,4.54332279083903,16.0006032440474,NA,236.303147,86.2861,11.1433,2.5706,100,690.57030238014
"SandyClayLoam",1,"15","SandyClayLoam",1,28.08399982,14.43700029,13.64699953,4.393849909599,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,235.679379633899
"SandyClayLoam",2,"16","SandyClayLoam",2,28.08399982,14.43700029,13.64699953,3.81156511026865,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,315.888185080271
"SandyLoam",1,"17","SandyLoam",1,15.7645894650396,6.49397262215466,9.27061684288497,14.7850421432534,34.0347896791193,25.6337999598805,63.293371193217,30.5419393124855,6.1646894942975,88.808425917617,187.655084777712
"SandyLoam",2,"18","SandyLoam",2,17.2778966680736,6.8918480586724,10.3860486094012,17.5615871425415,47.2665233027978,15.3577263632901,60.7823831253064,33.7803069987281,5.43730987596549,84.7973024834005,447.283236051886
"SandyLoam",3,"19","SandyLoam",3,18.5882396595042,7.42647538612896,11.1617642733752,22.3932155754242,54.5398710035973,10.6064202306979,66.900362395756,26.9072211944684,6.19241640977564,82.3568469556508,745.7531583969
"SiltLoam",1,"21","SiltLoam",1,20.6990717906853,7.08482587580847,13.6142459148768,8.87963884708977,58.5926925513695,11.1684168939672,31.2713481233361,59.104178884863,9.62447299180093,96.8923962527392,152.071528469918
"SiltLoam",2,"22","SiltLoam",2,20.0829332592918,7.7617433517912,12.3211899075006,17.4853444062642,35.4725847667089,7.97782606350612,34.708572213723,52.7235001818971,12.5679276043799,88.9144216231496,397.746552554149
"SiltLoam",3,"23","SiltLoam",3,17.1168384938556,6.39146267794353,10.7253758159121,28.2902514268277,24.5106657125984,8.97374810987455,35.4503413255901,49.8308053283776,14.7188533460324,67.5711831836746,695.520389262627
"SiltyClayLoam",1,"25","SiltyClayLoam",1,30.5635453855406,19.2516484481005,11.3118969374401,2.96694731760711,NA,2.0019856584547,14.925230753509,52.1346141324707,32.9401551140203,100,59.71553132912
NA,NA,"0",NA,NA,NA,NA,NA,1.56718175776455,0,21.2969279433226,NA,NA,NA,94.7515588308062,386.608508603425
